name,en_US,ja_JP,ko_KR,zh_CN
CopyProtectionPanel.desc1,Tries to protect your avatar from Unity cache ripping.,Unity キャッシュリッピングからアバターを保護しようとします。,유니티 캐쉬뜨기로부터 당신의 아바타를 보호하세요.,尝试保护您的头像免受 Unity 缓存翻录。
CopyProtectionPanel.desc2,This protection is not 100% safe!,この保護は100%安全ではありません!,이 방법도 100% 안전하지는 않습니다!,这种保护不是 100% 安全的！
CopyProtectionPanel.desc3,Before use: Read the documentation!,使用前: ドキュメントを読んでください!,사용 전에: 문서를 읽어주세요!,使用前：阅读文档！
BakePanel.label,Bake,焼く,베이크(Bake),烘焙
BakePanel.versionTooOld,Only for Blender 2.80+,,Blender 2.80 버전 이상에서만 호환,仅适用于 Blender 2.80+
BakePanel.autodetectlabel,Autodetect:,,자동감지:,自动侦测：
BakePanel.generaloptionslabel,General options:,,일반 옵션:,常规选项：
BakePanel.noheadfound,"No ""Head"" bone found!",,"""Head"" 본 발견되지 않음!","没有找到""头""骨！"
BakePanel.overlapfixlabel,Overlap fix:,,중복 수정:,重叠修复：
BakePanel.bakepasseslabel,Bake passes:,,베이크 패스:,烘烤通行证：
BakePanel.alphalabel,Alpha:,,,透明：
BakePanel.transparencywarning,Transparency isn't currently selected!,,현재 투명도가 선택되지 않았습니다!,当前未选择透明度！
BakePanel.smoothnesswarning,Smoothness isn't currently selected!,,현재 부드러움이 선택되지 않았습니다!,当前未选择平滑度！
BakePanel.doublepackwarning,Smoothness packed in two places!,,두군데에 부드러움이 설정되었습니다!,光滑度包装在两个地方！
ScalingPanel.label,Model Scaling,,,
ScalingPanel.imscaleDisabled1,Immersive Scaler is not enabled!,,,
ScalingPanel.imscaleDisabled2,Enable it in your user preferences:,,,
ScalingPanel.imscaleOldVersion1,Immersive Scaler is not installed!,,,
ScalingPanel.imscaleNotInstalled1,Immersive Scaler is not installed!,,,
ScalingPanel.imscaleNotInstalled2,Download and install it manually:,,,
UpdaterPanel.label,Settings & Updates,設定と更新,세팅 & 업데이트,设置和更新
UpdaterPanel.name,Settings:,設定:,세팅:,设置：
UpdaterPanel.requireRestart1,Restart required.,再起動が必要.,재시작이 필요합니다.,需要重启。
UpdaterPanel.requireRestart2,Some changes require a Blender restart.,一部の変更では、ブレンダーの再起動が必要です.,일부 변경은 블렌더를 다시 시작해야합니다.,某些更改需要重新启动 Blender。
SupporterPanel.label,Supporters,支持者,후원자들,支持者
SupporterPanel.desc,Do you like this plugin and want to support us?,このプラグインが好きで、私たちをサポートしたいですか?,이 플로그인이 도움 되었나요? 저희를 후원해주신다면 정말 기쁠 것입니다!,你喜欢这个插件并想支持我们吗？
SupporterPanel.thanks,Thanks to our awesome supporters! <3,私たちの素晴らしいサポーターに感謝!<3,저희 멋진 후원자분들께 정말로 감사드립니다! <3,感谢我们出色的支持者！ <3
SupporterPanel.missingName1,Is your name missing?,あなたの名前は見つかりませんか?,당신의 이름이 빠졌나요?,你的名字不见了吗？
SupporterPanel.missingName2,Please contact us in our discord!,私たちのDiscordで私達にお問い合わせください!,부디 우리 디스코드 서버에 연락주시기 바랍니다!,请在我们的Discord中与我们联系！
CreditsPanel.label,Credits,クレジット,,
CreditsPanel.desc1,Cats Blender Plugin (,,,Cats Blender 插件 (
CreditsPanel.desc2,Created by Hotox and GiveMeAllYourCats,HotoxとGiveMeAllYourCatsによって作成,멋진 VRChat 커뮤니티를 위해서,由 Hotox 和 GiveMeAllYourCats 创建
CreditsPanel.desc3,For the awesome VRChat community <3,素晴らしいVRChatコミュニティのために <3,Hotox와 GiveMeAllYourCats에 의해 제작됨 <3,对于很棒的 VRChat 社区 <3
CreditsPanel.desc4,Special thanks to:,特別な感謝: ShotariyaとNeitri,다음 분들께 특별한 감사를 전합니다:,特别感谢：浅醉酒花
CreditsPanel.descContributors,"Feilen, Jordo, Ruubick, 989onan, triazo,",Feilen、Jordo、Ruubick、989onan、triazo、,"Feilen, Jordo, Ruubick, 989onan, triazo,",Feilen、Jord、Rubik、Shataria & Netri
CreditsPanel.descContributors2,Shotariya and Neitri,ShotariyaとNeitri,Shotariya와 Neitri,您需要帮助或发现错误吗？
CreditsPanel.desc5,Do you need help or found a bug?,助けが必要ですか、バグを見つけましたか?,도움이 필요하시거나 혹시 버그를 찾으셨나요?,
FixArmature.label,Fix Model,モデル修正,모델 고치기,修复模型
FixArmature.desc,"Automatically:
- Reparents bones
- Removes unnecessary bones, objects, groups & constraints
- Translates and renames bones & objects
- Merges weight paints
- Corrects the hips
- Joins meshes
- Converts morphs into shapes
- Corrects shading",,"자동으로 아래의 항목들이 고쳐집니다:
- 본들의 부모 재설정
- 필요하지 않는 본들, 오브젝트들, 그룹들과 컨스트레인트들을 제거
- 본들과 오브젝트들을 영어로 번역하고 이름들을 바꿈
- 웨이트 페인트들을 통합
- 'hips'본을 고침
- 메쉬 통합
- morphs를 shapes로 변환
- 쉐이딩을 고침","自动地：
- 重生骨头
- 删除不必要的骨骼、对象、组和约束
- 翻译和重命名骨骼和对象
- 合并权重涂料
- 矫正臀部
- 加入网格
- 将变形转换为形状
- 修正阴影"
FixArmature.error.noMesh,"No mesh inside the armature found!
If there are meshes outside of the armature,
set the armature as the parent of the meshes.",,"뼈대(Armature) 안에 메쉬가 없습니다!
만약 뼈대 밖에 메쉬들이 있다면,
그 뼈대를 메쉬들의 부모로 설정하세요.","未发现骨架内的网格！
如果骨架外面有网格，
将骨架设置为网格的父级。"
FixArmature.error.faultyUV1,"The model was successfully fixed, but there were {uvcoord} faulty UV coordinates.",,"모델이 성공적으로 고쳐졌지만, 잘못된 UV 좌표들이 있습니다. {uvcoord}",模型已成功修复，但有 {uvcoord} 错误的 UV 坐标。
FixArmature.error.faultyUV2,This could result in broken textures and you might have to fix them manually.,,이것은 텍스처를 망가뜨리는 결과를 불러올 수 있으며 당신이 그것들을 직접 손봐야할 수 있습니다.,这可能会导致纹理损坏，您可能必须手动修复它们。
FixArmature.error.faultyUV3,This issue is often caused by edits in PMX editor.,,이 이슈는 자주 PMX editor에서 편집할 경우 일어날 수 있습니다.,此问题通常是由 PMX 编辑器中的编辑引起的。
FixArmature.fixedSuccess,Model successfully fixed.,,모델이 성공적으로 고쳐졌습니다.,模型成功修复。
FixArmature.bonesNotFound,The following bones were not found:,,해당 본들이 발견되지 않았습니다:,未找到以下骨骼：
FixArmature.cantFix1,Looks like you found a model which Cats could not fix!,,Cats Plugin이 고칠 수 없는 모델인 것 같습니다!,看起来您找到了 Cats 无法修复的模型！
FixArmature.cantFix2,If this is a non modified model we would love to make it compatible.,,이것이 수정되지 않은 모델이라면 우리는 호환되도록 만들고 싶습니다.,如果这是一个未修改的模型，我们很乐意使其兼容。
FixArmature.cantFix3,"Report it to us in the forum or in our discord, links can be found in the Credits panel.",,포럼이나 디스코드에서 우리에게 신고해주세요. 링크는 크레딧 패널에 있습니다.,在论坛或我们的 discord 中向我们报告，链接可以在 Credits 面板中找到。
FixArmature.notParent," is not parented at all, this will cause problems!",," 부모설정이 전혀 안됐다면, 이로 인해 문제가 발생할 수 있습니다!",根本没有父母，这会导致问题！
FixArmature.notParentTo1, is not parented to ,, 가,不是父母
FixArmature.notParentTo2,", this will cause problems!",,"의 부모로 설정돼지 않았다면, 이로 인해 문제가 발생할 수 있습니다!",，这样会出问题！
StartPoseMode.label,Start Pose Mode,ポーズモードを開始,포즈모드 시작,开始姿势模式
StartPoseMode.desc,"Starts the pose mode.
This lets you test how your model will move",,"포즈모드를 시작합니다.
이것은 당신의 모델이 어떻게 움직일지 테스트할 수 있게 해줍니다","启动姿势模式。
这使您可以测试模型将如何移动"
StartPoseModeNoReset.desc,"Starts the pose mode without resetting the pose.
This lets you test how your model will move",,"포즈 재설정없이 포즈모드를 시작합니다.
이것은 당신의 모델이 어떻게 움직일지 테스트할 수 있게 해줍니다","启动姿势模式而不重置姿势。
这使您可以测试模型将如何移动"
StopPoseMode.label,Stop Pose Mode,ポーズモードを停止する,포즈모드 중단,停止姿势模式
StopPoseMode.desc,Stops the pose mode and resets the pose to normal,,포즈모드를 중단하고 포즈를 초기상태로 되돌립니다,停止姿势模式并将姿势重置为正常
StopPoseModeNoReset.desc,Stops the pose mode and keeps the current pose,,포즈모드를 중단하고 현재 포즈를 유지합니다,停止姿势模式并保持当前姿势
PoseToShape.label,Pose to Shape Key,シェイプキーへのポーズ,현재 포즈를 쉐이프키로 만들기,对形态键构成姿势
PoseToShape.desc,"This saves your current pose as a new shape key.
The new shape key will be at the bottom of your shape key list of the mesh",,"이것은 당신의 현재 포즈를 새로운 쉐이프키로 만듭니다.
새로운 쉐이프키는 메쉬의 쉐이프키 리스트의 제일 아래에 생성됩니다.","这会将您当前的姿势保存为新的形态键。
新的形态键将位于网格的形态键列表的底部"
PoseNamePopup.label,Give this shapekey a name:,このシェイプキーに名前を付ける:,쉐이프키의 이름 설정:,给这个 shapekey 起个名字：
PoseNamePopup.desc,Sets the shapekey name. Press anywhere outside to skip,,쉐이프키 이름을 설정합니다. 스킵하려면 아무 곳이나 누르세요.,设置 shapekey 名称。 按任意位置跳过。
PoseNamePopup.success,Pose successfully saved as shape key.,,포즈가 성공적으로 쉐이프키로 저장되었습니다.,姿势成功保存为形态键。
PoseToRest.label,Apply as Rest Pose,レストポーズとして適用する,새로운 기본자세로 적용,应用为默认位置
PoseToRest.desc,This applies the current pose position as the new rest position.,,이것은 현재 포즈를 새로운 기본 포즈로 적용합니다.,"这会将当前姿势位置应用为新的静止位置。

如果您在每个轴上平等地缩放骨骼，则形态键也将正确缩放！
警告：这会对形态键产生不良影响，因此在使用此修改头部时要小心"
PoseToRest.success,Pose successfully applied as rest pose.,,포즈가 성공적으로 기본자세로 적용되었습니다.,姿势成功应用为默认位置。
JoinMeshes.label,Join Meshes,メッシュに参加する,메쉬 통합,加入网格
JoinMeshes.desc,"Joins all meshes of this model together.
It also:
  - Reorders all shape keys correctly
  - Applies all transforms
  - Repairs broken armature modifiers
  - Applies all decimation and mirror modifiers
  - Merges UV maps correctly",,"모델의 모든 메쉬들을 통합시킵니다.
또한:
  - 모든 쉐이프키들의 순서를 올바르게 재설정합니다.
  - 모든 변환(Transforms)을 적용
  - 망가진 아마추어 모디파이어들(armature modifiers)을 고침
  - 모든 데시메이션(decimation)과 미러 모디파이어들(mirror modifiers)을 적용
  - UV맵들을 올바르게 통합","将此模型的所有网格连接在一起。
它也是：
- 正确重新排序所有形态键
- 应用所有变换
- 修复损坏的骨架修改器
- 应用所有精简和镜像修改器
- 正确合并 UV 贴图"
JoinMeshes.failure,Meshes could not be joined!,,메쉬들이 통합될 수 없었습니다!,无法加入网格！
JoinMeshes.success,Meshes joined.,,메쉬들이 통합됐습니다.,网格加入。
JoinMeshesSelected.label,Join Selected Meshes,選択したメッシュを結合する,,加入选定的网格
JoinMeshesSelected.desc,"Joins all selected meshes of this model together.
It also:
  - Reorders all shape keys correctly
  - Applies all transforms
  - Repairs broken armature modifiers
  - Applies all decimation and mirror modifiers
  - Merges UV maps correctly",,"모델의 모든 메쉬들을 통합시킵니다.
또한:
  - 모든 쉐이프키들의 순서를 올바르게 재설정합니다.
  - 모든 변환(Transforms)을 적용
  - 망가진 아마추어 모디파이어들(armature modifiers)을 고침
  - 모든 데시메이션(decimation)과 미러 모디파이어들(mirror modifiers)을 적용
  - UV맵들을 올바르게 통합","将此模型的所有选定网格连接在一起。
它也是：
- 正确重新排序所有形态键
- 应用所有变换
- 修复损坏的骨架修改器
- 应用所有精简和镜像修改器
- 正确合并 UV 贴图"
JoinMeshesSelected.error.noSelect,No meshes selected! Please select the meshes you want to join in the hierarchy!,,선택된 메쉬들이 없습니다! 합치고 싶은 메쉬들을 계층(Hierarchy) 창에서 선택해주세요!,未选择网格！ 请选择要加入层次结构的网格！
JoinMeshesSelected.error.cantJoin,Selected meshes could not be joined!,,선택된 메쉬들이 통합될 수 없었습니다!,无法加入选定的网格！
JoinMeshesSelected.success,Selected meshes joined.,,선택된 메쉬들이 통합됐습니다.,选定的网格已连接。
SeparateByMaterials.label,Separate by Materials,材料別に分離する,매테리얼별로 분리하기,按材质分开
SeparateByMaterials.desc,"Separates selected mesh by materials.

Warning: Never decimate something where you might need the shape keys later (face, mouth, eyes..)",,"선택된 메쉬를 매테리얼 별로 나눕니다.

경고: 나중에 쉐이프키가 필요한 것들은 절대 데시메이트하지 마십시오. (얼굴, 입, 눈 등..)","按材质分离选定的网格。

警告：永远不要在以后可能需要形态键的地方（面部、嘴巴、眼睛......）"
SeparateByMaterials.success,Successfully separated by materials.,,성공적으로 매테리얼별로 분리됐습니다.,成功按材质分离。
SeparateByLooseParts.label,Separate by Loose Parts,ルーズパーツに分離する,느슨한 부분들로 분리하기,用松散的零件分开
